paper_id,category,field_name,ai_value,machine_verified_value,match_status,review_comment,evidence_page,evidence_location,evidence_sentence,verification_method,review_confidence,needs_human_review
B01-0072,composition,final_formula,unknown; nominal_formula stored per sample,unknown; paper reports nominal formulas only,correct,v2 no longer labels a nominal series as measured final composition.,PDF 2-3 (printed pp. 9-10),Section 2.1 and Fig. 3,The paper defines a nominal series and four x-labelled samples without measured elemental composition.,body_text,high,false
B01-0072,composition,dopant_element,"Ga and Nb, sample scoped","Ga and Nb, sample scoped",correct,Each sample has its own dopant records; x=0 contains Nb only.,PDF 2-3 (printed pp. 9-10),Experiment and Results,Ga and Nb are reported as substitutions in the LLZO series.,body_text,high,false
B01-0072,composition,dopant_site,Ga: Li; Nb: Zr; explicitly_reported,Ga: Li; Nb: Zr; explicitly_reported,correct,Direct textual evidence supports both assignments; no valence inference was used.,PDF 3 (printed p. 10),Results and Discussion,"Nb occupies the Zr site, while Ga is used to occupy the Li sites.",body_text,high,false
B01-0072,composition,dopant_concentration,S01 x=0; S02 x=0.1; S03 x=0.2; S04 x=0.3; Nb=0.2 each,S01 x=0; S02 x=0.1; S03 x=0.2; S04 x=0.3; Nb=0.2 each,correct,Discrete nominal samples replace the v1 range collapsed into one record.,PDF 2-3 (printed pp. 9-10),Section 2.1 and Fig. 3,"Fig. 3 identifies x = 0, 0.1, 0.2, and 0.3 samples from the nominal series.",body_text,high,false
B01-0072,processing,calcination_temperature,800 C; every sample,800 C; every sample,correct,Calcination remains distinct from sintering.,PDF 2 (printed p. 9),Section 2.1,The gels were calcined in air at 800 C for 8 h.,body_text,high,false
B01-0072,processing,sintering_temperature,1100 C; every sample,1100 C; every sample,correct,The value is bound to each ceramic sample.,PDF 2 (printed p. 9),Section 2.1,Pellets covered in master powders were sintered at 1100 C for 8 h.,body_text,high,false
B01-0072,processing,sintering_time,8 h; every sample,8 h; every sample,correct,The duration is bound to final pellet sintering.,PDF 2 (printed p. 9),Section 2.1,Pellets covered in master powders were sintered at 1100 C for 8 h.,body_text,high,false
B01-0072,processing,atmosphere,air for calcination; sintering atmosphere unknown; master-powder cover,air for calcination; sintering atmosphere unknown; master-powder cover,correct,Atmosphere and mother-powder covering remain separate conditions.,PDF 2 (printed p. 9),Section 2.1,The gels were calcined in air; pellets were covered in master powders for sintering.,body_text,high,false
B01-0072,transport,total_conductivity,S03; total_ionic_conductivity; 3.7e-4 S/cm; room temperature,S03; total_ionic_conductivity; 3.7e-4 S/cm; room temperature,correct,"Value, sample, type, raw unit, normalized unit, temperature, electrode, and EIS context are bound in one record.",PDF 1 and 5 (printed pp. 8 and 12),Abstract and Conclusions,The x = 0.2 sample has total ionic conductivity of 3.7 x 10^-4 S cm^-1 at room temperature.,body_text,high,false
B01-0072,transport,bulk_conductivity,unknown,unknown; no separate numeric bulk conductivity reported,correct,Qualitative grain impedance was not converted into a conductivity value.,PDF 4 (printed p. 11),Fig. 6 discussion,Two semicircles represent grain and grain-boundary impedance; only total resistance is used for conductivity.,body_text,medium,false
B01-0072,transport,grain_boundary_conductivity,unknown,unknown; no separate numeric grain-boundary conductivity reported,correct,No value was estimated from Fig. 6.,PDF 4 (printed p. 11),Fig. 6 discussion,The total resistance is the sum of grain and grain-boundary impedance.,body_text,medium,false
B01-0072,transport,activation_energy,unknown,unknown; not reported in article,correct,Full article check found no Arrhenius fit or activation-energy result.,PDF 1-6 (printed pp. 8-13),Full-article check,No activation-energy value or fitted temperature range is reported.,not_found,medium,false
B01-0072,interface,interfacial_resistance,unknown; blocking-electrode resistance classified under transport,unknown; no electrode/electrolyte interfacial resistance reported,correct,v2 separates total-cell/grain-boundary resistance from electrode-interface resistance.,PDF 4 (printed p. 11),Fig. 6 discussion,The experiment uses a silver blocking electrode and discusses grain and grain-boundary impedance.,body_text,high,false
B01-0072,interface,critical_current_density,unknown,unknown; not reported,correct,No CCD experiment is present.,PDF 5 (printed p. 12),Conclusions and scope check,"The conclusion reports processing, structure, and ionic conductivity only.",not_found,high,false
B01-0072,interface,li_symmetric_lifetime,unknown,unknown; not reported,correct,No Li symmetric-cell cycling is present.,PDF 5 (printed p. 12),Conclusions and scope check,"The conclusion reports processing, structure, and ionic conductivity only.",not_found,high,false
B01-0072,battery,capacity_retention,unknown,unknown; not reported,correct,Potential battery application is not treated as a battery result.,PDF 5 (printed p. 12),Conclusions and scope check,The article states potential application but reports no full-cell experiment.,not_found,high,false
B01-0072,battery,cycle_number,unknown,unknown; not reported,correct,No cycle count is reported.,PDF 5 (printed p. 12),Conclusions and scope check,The article states potential application but reports no full-cell experiment.,not_found,high,false
