sample_id,paper_id,title,doi,year,journal,material_family,source_type,notes,base_formula,final_formula,dopant_element_1,dopant_site_1,dopant_valence_1,dopant_concentration_1,dopant_element_2,dopant_site_2,dopant_valence_2,dopant_concentration_2,co_doping_flag,li_content,charge_compensation_type,synthesis_method,calcination_temperature_c,calcination_time_h,sintering_temperature_c,sintering_time_h,atmosphere,excess_lithium_source,mother_powder,relative_density_percent,grain_size_um,phase,lattice_parameter_a,secondary_phase,total_conductivity_25c_s_cm,bulk_conductivity_25c_s_cm,gb_conductivity_25c_s_cm,activation_energy_ev,electronic_conductivity_s_cm,eis_temperature_range,drt_available,li_contact_method,interfacial_resistance_ohm_cm2,critical_current_density_ma_cm2,li_symmetric_current_density_ma_cm2,li_symmetric_areal_capacity_mah_cm2,li_symmetric_lifetime_h,cycling_temperature_c,stack_pressure_mpa,cathode_type,cathode_loading_mg_cm2,liquid_electrolyte_amount_ul,cycling_rate,cycle_number,capacity_mah_g,capacity_retention_percent,coulombic_efficiency_percent,operating_temperature_c,confidence,synthetic_bprs_class
synthetic-sample-001,synthetic-paper-001,Synthetic fictitious PERD demonstration paper 001,10.0000/synthetic-perd-demo-001,2017,Synthetic Demonstration Journal,LLZO,synthetic/fictitious demonstration data,synthetic/fictitious row for PERD pipeline demo only; intended BPRS class=high; not real literature data,Li7La3Zr2O12,Li7La3Zr2O12 synthetic Al-doped,Al,Li,3,0.08,Al,Li,3,0.08,true,6.1,synthetic aliovalent charge compensation,synthetic solid-state route,850,4,1050,8,air,Li2CO3,synthetic mother powder batch,94,1.5,cubic,12.85,none observed in synthetic record,0.0011,0.00198,0.00055,0.25,1e-08,25-80 C,true,synthetic polished Li contact,35,0.75,0.1,0.1,720,45,3.0,NCM811,1.8,0,C/10,100,154,86,97.5,45,high,high
synthetic-sample-002,synthetic-paper-001,Synthetic fictitious PERD demonstration paper 001,10.0000/synthetic-perd-demo-001,2018,Synthetic Demonstration Journal,LLZO,synthetic/fictitious demonstration data,synthetic/fictitious row for PERD pipeline demo only; intended BPRS class=high; not real literature data,Li7La3Zr2O12,Li7La3Zr2O12 synthetic Ga-doped,Ga,Li,3,0.14,unknown,unknown,,0.0,false,6.22,synthetic aliovalent charge compensation,synthetic solid-state route,875,5,1080,9,air,Li2CO3,synthetic mother powder batch,95,2.2,cubic,12.865,none observed in synthetic record,0.0013000000000000002,0.0023400000000000005,0.00063,0.27,2e-08,25-80 C,false,synthetic polished Li contact,42,0.87,0.15,0.15,830,25,3.8,LFP,2.25,0,C/10,125,157,87,97.85,25,high,high
synthetic-sample-003,synthetic-paper-001,Synthetic fictitious PERD demonstration paper 001,10.0000/synthetic-perd-demo-001,2019,Synthetic Demonstration Journal,LLZO,synthetic/fictitious demonstration data,synthetic/fictitious row for PERD pipeline demo only; intended BPRS class=high; not real literature data,Li7La3Zr2O12,Li7La3Zr2O12 synthetic Nb-doped,Nb,Zr,5,0.2,unknown,unknown,,0.0,false,6.34,synthetic aliovalent charge compensation,synthetic solid-state route,900,6,1110,10,air,Li2CO3,synthetic mother powder batch,96,2.9,cubic,12.88,none observed in synthetic record,0.0015,0.0027,0.00071,0.29,3.0000000000000004e-08,25-80 C,false,synthetic polished Li contact,49,0.99,0.2,0.2,940,25,4.6,NCM622,2.7,0,C/10,150,160,88,98.2,25,high,high
synthetic-sample-004,synthetic-paper-002,Synthetic fictitious PERD demonstration paper 002,10.0000/synthetic-perd-demo-002,2020,Synthetic Demonstration Journal,LLZO,synthetic/fictitious demonstration data,synthetic/fictitious row for PERD pipeline demo only; intended BPRS class=high; not real literature data,Li7La3Zr2O12,Li7La3Zr2O12 synthetic Ta-doped,Ta,Zr,5,0.26,unknown,unknown,,0.0,false,6.46,synthetic aliovalent charge compensation,synthetic solid-state route,925,7,1140,11,air,Li2CO3,synthetic mother powder batch,97,3.6,cubic,12.895,none observed in synthetic record,0.0017000000000000001,0.0030600000000000002,0.0007900000000000001,0.25,4e-08,25-80 C,false,synthetic polished Li contact,56,1.1099999999999999,0.25,0.25,1050,25,5.4,LCO,3.15,0,C/10,175,163,89,98.55,25,high,high
synthetic-sample-005,synthetic-paper-002,Synthetic fictitious PERD demonstration paper 002,10.0000/synthetic-perd-demo-002,2021,Synthetic Demonstration Journal,LLZO,synthetic/fictitious demonstration data,synthetic/fictitious row for PERD pipeline demo only; intended BPRS class=high; not real literature data,Li7La3Zr2O12,Li7La3Zr2O12 synthetic Al-doped,Al,Li,3,0.32,unknown,unknown,,0.0,false,6.58,synthetic aliovalent charge compensation,synthetic solid-state route,950,4,1170,12,air,Li2CO3,synthetic mother powder batch,94,4.3,cubic,12.91,none observed in synthetic record,0.0019000000000000002,0.0034200000000000003,0.00055,0.27,5e-08,25-80 C,true,synthetic polished Li contact,63,0.75,0.3,0.1,1160,25,6.2,NCM811,3.6,0,C/10,200,154,90,98.9,25,high,high
synthetic-sample-006,synthetic-paper-002,Synthetic fictitious PERD demonstration paper 002,10.0000/synthetic-perd-demo-002,2022,Synthetic Demonstration Journal,LLZO,synthetic/fictitious demonstration data,synthetic/fictitious row for PERD pipeline demo only; intended BPRS class=high; not real literature data,Li7La3Zr2O12,Li7La3Zr2O12 synthetic Ga-doped,Ga,Li,3,0.38,unknown,unknown,,0.0,false,6.7,synthetic aliovalent charge compensation,synthetic solid-state route,850,5,1200,8,air,Li2CO3,synthetic mother powder batch,95,5.0,cubic,12.925,none observed in synthetic record,0.0011,0.00198,0.00063,0.29,1e-08,25-80 C,false,synthetic polished Li contact,35,0.87,0.1,0.15,720,25,3.0,LFP,4.05,0,C/10,100,157,91,97.5,25,high,high
synthetic-sample-007,synthetic-paper-003,Synthetic fictitious PERD demonstration paper 003,10.0000/synthetic-perd-demo-003,2023,Synthetic Demonstration Journal,LLZO,synthetic/fictitious demonstration data,synthetic/fictitious row for PERD pipeline demo only; intended BPRS class=high; not real literature data,Li7La3Zr2O12,Li7La3Zr2O12 synthetic Nb-doped,Nb,Zr,5,0.08,unknown,unknown,,0.0,false,6.82,synthetic aliovalent charge compensation,synthetic solid-state route,875,6,1050,9,air,Li2CO3,synthetic mother powder batch,96,5.7,cubic,12.94,none observed in synthetic record,0.0013000000000000002,0.0023400000000000005,0.00071,0.25,2e-08,25-80 C,false,synthetic polished Li contact,42,0.99,0.15,0.2,830,45,3.8,NCM622,1.8,0,C/10,125,160,86,97.85,45,high,high
synthetic-sample-008,synthetic-paper-003,Synthetic fictitious PERD demonstration paper 003,10.0000/synthetic-perd-demo-003,2024,Synthetic Demonstration Journal,LLZO,synthetic/fictitious demonstration data,synthetic/fictitious row for PERD pipeline demo only; intended BPRS class=high; not real literature data,Li7La3Zr2O12,Li7La3Zr2O12 synthetic Ta-doped,Ta,Zr,5,0.14,Al,Li,3,0.08,true,6.94,synthetic aliovalent charge compensation,synthetic solid-state route,900,7,1080,10,air,Li2CO3,synthetic mother powder batch,97,6.4,cubic,12.955,none observed in synthetic record,0.0015,0.0027,0.0007900000000000001,0.27,3.0000000000000004e-08,25-80 C,false,synthetic polished Li contact,49,1.1099999999999999,0.2,0.25,940,25,4.6,LCO,2.25,0,C/10,150,163,87,98.2,25,high,high
synthetic-sample-009,synthetic-paper-003,Synthetic fictitious PERD demonstration paper 003,10.0000/synthetic-perd-demo-003,2025,Synthetic Demonstration Journal,LLZO,synthetic/fictitious demonstration data,synthetic/fictitious row for PERD pipeline demo only; intended BPRS class=high; not real literature data,Li7La3Zr2O12,Li7La3Zr2O12 synthetic Al-doped,Al,Li,3,0.2,unknown,unknown,,0.0,false,6.1,synthetic aliovalent charge compensation,synthetic solid-state route,925,4,1110,11,air,Li2CO3,synthetic mother powder batch,94,1.5,cubic,12.97,none observed in synthetic record,0.0017000000000000001,0.0030600000000000002,0.00055,0.29,4e-08,25-80 C,true,synthetic polished Li contact,56,0.75,0.25,0.1,1050,25,5.4,NCM811,2.7,0,C/10,175,154,88,98.55,25,high,high
synthetic-sample-010,synthetic-paper-004,Synthetic fictitious PERD demonstration paper 004,10.0000/synthetic-perd-demo-004,2017,Synthetic Demonstration Journal,LLZO,synthetic/fictitious demonstration data,synthetic/fictitious row for PERD pipeline demo only; intended BPRS class=high; not real literature data,Li7La3Zr2O12,Li7La3Zr2O12 synthetic Ga-doped,Ga,Li,3,0.26,unknown,unknown,,0.0,false,6.22,synthetic aliovalent charge compensation,synthetic solid-state route,950,5,1140,12,air,Li2CO3,synthetic mother powder batch,95,2.2,cubic,12.985,none observed in synthetic record,0.0019000000000000002,0.0034200000000000003,0.00063,0.25,5e-08,25-80 C,false,synthetic polished Li contact,63,0.87,0.3,0.15,1160,25,6.2,LFP,3.15,0,C/10,200,157,89,98.9,25,high,high
synthetic-sample-011,synthetic-paper-004,Synthetic fictitious PERD demonstration paper 004,10.0000/synthetic-perd-demo-004,2018,Synthetic Demonstration Journal,LLZTO,synthetic/fictitious demonstration data,synthetic/fictitious row for PERD pipeline demo only; intended BPRS class=medium; not real literature data,Li6.5La3Zr1.5Ta0.5O12,Li6.5La3Zr1.5Ta0.5O12 synthetic Nb-doped,Nb,Zr,5,0.32,unknown,unknown,,0.0,false,6.34,synthetic aliovalent charge compensation,synthetic solid-state route,850,6,1170,8,air,Li2CO3,synthetic mother powder batch,88,2.9,mixed cubic/tetragonal,12.85,minor synthetic secondary phase,0.00018,0.000324,0.00020999999999999998,0.42,1e-08,25-80 C,false,synthetic polished Li contact,85,0.32,0.1,0.2,480,25,3.0,NCM622,3.6,0,C/20,100,128,70,97.5,25,medium,medium
