paper_id,category,field_name,ai_value,machine_verified_value,match_status,review_comment,evidence_page,evidence_location,evidence_sentence,verification_method,review_confidence,needs_human_review
B01-0072,composition,final_formula,Li6.8-3xGaxLa3Zr1.8Nb0.2O12 (0 <= x <= 0.3),Nominal series: Li6.8-3xGaxLa3Zr1.8Nb0.2O12 (0 <= x <= 0.3); optimized x=0.2 nominal formula: Li6.2Ga0.2La3Zr1.8Nb0.2O12,minor_difference,"The paper reports a nominal composition series and an optimized nominal sample, not a measured final composition. The scalar final_formula label is therefore too strong.",PDF 2-3 (printed pp. 9-10),Section 2.1 and Fig. 4 caption,The fitting profile is reported for Li6.2Ga0.2La3Zr1.8Nb0.2O12 after the series Li6.8-3xGaxLa3Zr1.8Nb0.2O12 (0 <= x <= 0.3) is defined.,body_text,medium,true
B01-0072,composition,dopant_element,"[""Ga"",""Nb""]","[""Ga"",""Nb""]",correct,Ga and Nb are explicitly identified as the two dopants.,PDF 2 (printed p. 9),Introduction continuation,Ga3+ and Nb5+ were used to partially replace Li+ and Zr4+ in Li7La3Zr2O12.,body_text,high,false
B01-0072,composition,dopant_site,"{""Ga"":""Li"",""Nb"":""Zr""}","{""Ga"":""Li"",""Nb"":""Zr""}",correct,Both sites are stated in the Results section; no valence-based inference was used.,PDF 3 (printed p. 10),Results and Discussion below Fig. 3,"Nb occupies the Zr site, while Ga is used to occupy the Li sites.",body_text,high,false
B01-0072,composition,dopant_concentration,"{""Ga_x_min"":0,""Ga_x_max"":0.3,""Nb_formula_coefficient"":0.2}","Ga x = 0, 0.1, 0.2, 0.3; Nb coefficient = 0.2; optimized sample x = 0.2",minor_difference,"The extracted range and Nb coefficient are supported, but the discrete samples and optimized x=0.2 context are omitted.",PDF 2-3 (printed pp. 9-10),Section 2.1 and Fig. 3 labels,"The nominal molar ratio is (6.8-3x):x:3:0.9:0.2, and Fig. 3 identifies samples x = 0, 0.1, 0.2, and 0.3.",body_text,medium,true
B01-0072,processing,calcination_temperature,800,800 C,correct,The precursor gel calcination temperature is explicitly reported and is not the pellet sintering temperature.,PDF 2 (printed p. 9),Section 2.1,The gels were calcined in air at 800 C for 8 h to obtain the powders.,body_text,high,false
B01-0072,processing,sintering_temperature,1100,1100 C,correct,The value applies to pressed pellets covered in master powder.,PDF 2 (printed p. 9),Section 2.1,The pressed pellets were covered in master powders and sintered at 1100 C for 8 h.,body_text,high,false
B01-0072,processing,sintering_time,8,8 h,correct,The 8 h duration is explicitly tied to final pellet sintering.,PDF 2 (printed p. 9),Section 2.1,The pressed pellets were covered in master powders and sintered at 1100 C for 8 h.,body_text,high,false
B01-0072,processing,atmosphere,air (calcination only),Air for calcination; sintering atmosphere not reported; pellets covered in master powder,correct,"The extraction correctly limits air to calcination. Master-powder covering is a separate sintering condition, not an atmosphere.",PDF 2 (printed p. 9),Section 2.1,The gels were calcined in air; the pellets were later covered in master powders for sintering.,body_text,high,false
B01-0072,transport,total_conductivity,0.00037,3.7e-4 S/cm; total ionic conductivity; x=0.2 sample; room temperature,minor_difference,"The normalized value is correct, but the field value alone omits sample identity, temperature, original unit, and conductivity type required for unambiguous reuse.",PDF 1 and 5 (printed pp. 8 and 12),Abstract and Results/Conclusions,"For x = 0.2, the highest total ionic conductivity is 3.7 x 10^-4 S cm^-1 at room temperature.",body_text,high,true
B01-0072,transport,bulk_conductivity,unknown,unknown (no separate numeric bulk/grain conductivity reported),correct,The paper describes a grain-impedance semicircle but does not provide a separately fitted numeric bulk conductivity.,PDF 4 (printed p. 11),"Results and Discussion, Fig. 6 discussion",Two semicircles represent grain impedance and grain-boundary impedance; only their summed total resistance is used for conductivity.,body_text,medium,false
B01-0072,transport,grain_boundary_conductivity,unknown,unknown (no separate numeric grain-boundary conductivity reported),correct,Grain-boundary impedance is discussed qualitatively without a separate conductivity value.,PDF 4 (printed p. 11),"Results and Discussion, Fig. 6 discussion",The total resistance is stated to be the sum of grain and grain-boundary impedance.,body_text,medium,false
B01-0072,transport,activation_energy,unknown,unresolved (not located in the six-page article),unresolved,"No Arrhenius analysis or activation-energy value was located, but absence should receive human confirmation before becoming a Gold Standard decision.",,Full-paper text and figure review,,not_found,low,true
B01-0072,interface,interfacial_resistance,unknown,unknown (no electrode/electrolyte interfacial resistance reported),correct,"The phrase grain interface resistance refers to microstructural grain/grain-boundary impedance, not a lithium-metal or electrode interface measurement.",PDF 4 (printed p. 11),"Results and Discussion, Fig. 6 discussion",Increasing Ga content is described as reducing the grain interface resistance value.,body_text,medium,true
B01-0072,interface,critical_current_density,unknown,unknown (not reported),correct,No lithium-metal current-stepping or CCD experiment is reported; reference-list mentions were excluded.,PDF 5 (printed p. 12),Conclusions and article-scope check,"The conclusion reports structure, processing, and ionic conductivity and only states potential solid-state-battery application.",not_found,high,false
B01-0072,interface,li_symmetric_lifetime,unknown,unknown (not reported),correct,No Li symmetric-cell cycling experiment is reported; reference-list mentions were excluded.,PDF 5 (printed p. 12),Conclusions and article-scope check,"The conclusion reports structure, processing, and ionic conductivity and only states potential solid-state-battery application.",not_found,high,false
B01-0072,battery,capacity_retention,unknown,unknown (not reported),correct,No full-cell capacity-retention experiment is reported.,PDF 5 (printed p. 12),Conclusions and article-scope check,"The conclusion reports structure, processing, and ionic conductivity and only states potential solid-state-battery application.",not_found,high,false
B01-0072,battery,cycle_number,unknown,unknown (not reported),correct,No full-cell cycling result or corresponding cycle number is reported.,PDF 5 (printed p. 12),Conclusions and article-scope check,"The conclusion reports structure, processing, and ionic conductivity and only states potential solid-state-battery application.",not_found,high,false
